classification,total_trades,total_closed_pnl,average_closed_pnl,median_closed_pnl,win_rate,size_tokens_mean
Extreme Fear,2326,4399.936551,1.8916322231298366,0.0,29.27773000859845,2460.043834173775
Extreme Greed,5621,1156893.675576,205.81634505888633,0.96048,55.328233410425185,16407.31031807082
Fear,13869,1779225.582654,128.28795029591174,0.0,38.1786718581008,3219.8652062277433
Greed,11292,609632.532636,53.988003244420824,0.0,43.57066950053135,14956.263148433929
Neutral,2756,74656.74198,27.08880333091437,0.0,49.49201741654572,17720.854907689874
